               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10016,            0.032039,            0.028596,           0.0044333,             0.63433,           0.0047586,           0.0010377,            0.084972,            0.018478,            0.025313,            0.070341,           0.0032955,           0.0032955
                   1,            0.082902,            0.036795,            0.027334,            0.044302,             0.21642,            0.034097,            0.010642,            0.065135,            0.020354,             0.02832,            0.040275,           0.0065632,           0.0065632
                   2,            0.072132,            0.032362,            0.025459,             0.22055,             0.47761,             0.21456,            0.072491,            0.051728,            0.019479,             0.02324,            0.010144,           0.0097649,           0.0097649
                   3,            0.062286,            0.028675,            0.021828,             0.70115,             0.70488,             0.82402,             0.37274,            0.040505,            0.014498,            0.011906,            0.009703,            0.009703,            0.009703
                   4,            0.055385,            0.026596,            0.016247,             0.83695,             0.91972,             0.89614,             0.33533,            0.039562,            0.012707,           0.0061125,            0.009703,            0.009703,            0.009703
                   5,             0.05152,            0.024771,            0.012752,             0.96109,             0.94776,             0.96224,             0.52079,            0.035096,            0.010654,           0.0023242,            0.009604,            0.009604,            0.009604
                   6,             0.04754,            0.023056,            0.010713,             0.93761,             0.94154,             0.96214,             0.46259,            0.033689,            0.010923,           0.0019166,            0.009505,            0.009505,            0.009505
                   7,            0.044489,            0.022779,           0.0092282,             0.83138,             0.77846,             0.79664,             0.34508,            0.040522,            0.017404,           0.0023576,            0.009406,            0.009406,            0.009406
                   8,            0.043074,            0.022373,           0.0080477,              0.9889,             0.99627,             0.99312,             0.65498,            0.025635,            0.018234,           0.0015001,            0.009307,            0.009307,            0.009307
                   9,            0.041465,            0.021301,           0.0069555,             0.98403,             0.99627,             0.99478,             0.64363,            0.026454,             0.01012,          0.00056746,            0.009208,            0.009208,            0.009208
                  10,              0.0396,            0.021093,           0.0065322,             0.86746,             0.89893,             0.96813,             0.58344,            0.027516,           0.0092853,            0.007198,            0.009109,            0.009109,            0.009109
                  11,             0.03846,             0.02064,           0.0061042,              0.9909,                   1,             0.99437,             0.67497,            0.023044,           0.0083792,          0.00064761,             0.00901,             0.00901,             0.00901
